ip,ip_type,last_check_time,port,speed
61.135.217.7,HTTP,18-01-31 14:41,80,0.324秒
122.114.31.177,HTTP,18-01-31 14:41,808,0.107秒
39.72.54.28,HTTP,18-01-31 14:41,8118,2.119秒
121.228.55.42,HTTP,18-01-31 14:40,808,0.443秒
110.73.54.63,HTTP,18-01-31 14:37,8123,2.571秒
218.20.218.200,HTTPS,18-01-31 14:36,8118,3.199秒
117.22.178.187,HTTPS,18-01-31 14:36,8118,0.605秒
222.42.224.190,HTTPS,18-01-31 14:32,80,0.356秒
114.252.175.88,HTTP,18-01-31 14:31,8118,0.064秒
116.2.13.148,HTTP,18-01-31 14:30,80,0.129秒
113.206.112.157,HTTP,18-01-31 14:30,8118,0.193秒
117.66.132.61,HTTPS,18-01-31 14:30,8118,3.758秒
121.60.76.59,HTTPS,18-01-31 14:27,808,0.146秒
122.236.154.66,HTTP,18-01-31 14:27,8118,1.543秒
36.32.106.61,HTTPS,18-01-31 14:22,8118,2.839秒
121.206.86.86,HTTPS,18-01-31 14:22,32756,1.274秒
1.194.133.194,HTTPS,18-01-31 14:22,37571,0.592秒
49.85.4.140,HTTPS,18-01-31 14:22,20152,0.187秒
36.25.27.86,HTTPS,18-01-31 14:22,45277,1.336秒
115.213.248.197,HTTPS,18-01-31 14:22,26300,0.344秒
123.55.188.64,HTTPS,18-01-31 14:22,25371,0.598秒
218.73.138.149,HTTPS,18-01-31 14:22,39533,0.151秒
219.216.64.26,HTTPS,18-01-31 14:21,8118,0.356秒
183.49.85.43,HTTP,18-01-31 14:21,8118,3.161秒
61.135.155.82,HTTP,18-01-31 14:20,443,3.462秒
113.206.129.132,HTTP,18-01-31 14:18,8118,7.18秒
39.86.42.57,HTTPS,18-01-31 14:11,8118,2.098秒
139.201.113.211,HTTP,18-01-30 21:16,808,2.551秒
110.73.46.170,HTTP,18-01-30 21:15,8123,5.448秒
27.218.72.50,HTTPS,18-01-30 21:02,8118,0.195秒
121.31.70.203,HTTP,18-01-30 21:01,8123,3.4秒
110.73.12.183,HTTP,18-01-30 21:00,8123,3.364秒
112.251.212.91,HTTPS,18-01-31 14:11,8118,0.127秒
115.207.96.111,HTTPS,18-01-31 14:11,808,2.105秒
110.85.89.252,HTTPS,18-01-31 14:11,43062,0.183秒
110.73.30.152,HTTPS,18-01-31 14:11,8123,0.362秒
171.37.152.208,HTTPS,18-01-31 14:10,8123,4.233秒
121.35.97.131,HTTP,18-01-30 20:55,8118,0.192秒
123.138.74.181,HTTPS,18-01-30 20:50,808,0.111秒
122.7.198.241,HTTPS,18-01-30 20:40,8080,0.136秒
182.88.184.63,HTTP,18-01-30 20:34,8123,2.661秒
111.155.116.249,HTTP,18-01-30 20:31,8123,0.945秒
111.155.124.84,HTTP,18-01-30 20:28,8123,0.356秒
171.37.166.122,HTTP,18-01-31 14:10,8123,0.353秒
182.35.144.113,HTTP,18-01-31 14:08,8118,0.105秒
116.235.122.24,HTTPS,18-01-31 14:06,8118,0.178秒
124.227.84.42,HTTP,18-01-31 14:02,8118,1.039秒
125.65.177.52,HTTPS,18-01-31 14:02,808,0.438秒
123.163.166.51,HTTP,18-01-31 14:01,26246,7.387秒
123.161.155.216,HTTP,18-01-31 14:01,41767,1.236秒
117.33.23.7,HTTPS,18-01-31 14:00,808,3.14秒
115.230.67.128,HTTP,18-01-31 14:00,41835,1.479秒
60.9.26.62,HTTP,18-01-31 13:55,8118,2.02秒
60.214.118.170,HTTP,18-01-30 20:28,63000,0.218秒
110.185.32.241,HTTPS,18-01-30 20:16,1080,0.264秒
113.128.25.138,HTTPS,18-01-30 20:11,45338,2.088秒
180.114.173.127,HTTPS,18-01-30 20:00,35771,1.18秒
182.88.89.118,HTTPS,18-01-30 20:00,8123,6.737秒
112.114.77.103,HTTP,18-01-30 19:45,8118,4.262秒
171.37.171.95,HTTP,18-01-30 19:45,8123,4.094秒
123.146.1.132,HTTPS,18-01-30 19:44,8118,4.258秒
49.5.8.132,HTTPS,18-01-30 19:33,8888,3.22秒
125.112.203.154,HTTPS,18-01-30 19:22,37933,2.659秒
58.49.235.143,HTTP,18-01-30 19:22,8081,0.15秒
124.237.130.230,HTTP,18-01-31 06:12,9999,5.702秒
182.112.196.173,HTTPS,18-01-31 06:11,8118,0.132秒
123.185.130.119,HTTP,18-01-31 06:10,8118,4.076秒
220.162.155.105,HTTPS,18-01-31 06:00,44401,0.209秒
219.138.58.231,HTTPS,18-01-31 06:00,3128,3.629秒
110.73.30.34,HTTPS,18-01-31 05:52,8123,6.149秒
42.55.16.63,HTTP,18-01-31 05:50,80,1.183秒
110.73.5.182,HTTP,18-01-31 05:45,8888,0.285秒
122.241.73.100,HTTPS,18-01-31 05:44,808,0.245秒
42.224.220.74,HTTPS,18-01-31 05:42,8118,0.783秒
221.231.109.40,HTTP,18-01-31 05:30,3128,0.126秒
122.241.73.146,HTTPS,18-01-31 05:30,808,3.426秒
113.246.131.164,HTTP,18-01-31 13:54,8118,0.155秒
121.31.194.196,HTTPS,18-01-31 13:53,8123,4.36秒
112.93.70.31,HTTPS,18-01-31 13:52,80,0.237秒
222.95.29.152,HTTPS,18-01-31 13:47,8118,0.125秒
59.59.215.30,HTTPS,18-01-31 13:46,808,0.294秒
122.4.28.92,HTTPS,18-01-31 13:46,20625,1.009秒
49.85.6.142,HTTPS,18-01-31 13:46,30663,0.169秒
117.95.200.59,HTTPS,18-01-31 13:45,43873,3.633秒
27.159.136.139,HTTPS,18-01-31 13:45,32946,3.843秒
175.11.52.50,HTTPS,18-01-31 13:45,8888,3.051秒
221.233.85.98,HTTP,18-01-30 19:22,3128,4.699秒
113.243.221.112,HTTPS,18-01-30 19:11,3128,7.407秒
110.85.89.194,HTTPS,18-01-30 19:11,48406,3.504秒
110.83.172.212,HTTPS,18-01-30 19:11,43826,1.405秒
115.210.76.217,HTTP,18-01-30 19:00,31049,2.037秒
221.233.85.83,HTTPS,18-01-30 19:00,3128,2.097秒
140.224.98.35,HTTPS,18-01-30 19:00,37105,0.278秒
140.250.161.236,HTTP,18-01-30 19:00,35784,2.604秒
115.46.68.149,HTTP,18-01-30 19:00,8123,4.683秒
171.37.163.28,HTTP,18-01-30 18:56,8123,0.275秒
49.68.121.171,HTTP,18-01-30 18:55,808,0.188秒
110.73.32.74,HTTP,18-01-30 18:26,8123,0.295秒
220.162.74.227,HTTPS,18-01-30 18:22,38529,1.108秒
122.241.7.202,HTTPS,18-01-30 18:22,23332,1.227秒
49.70.95.127,HTTPS,18-01-30 18:22,23823,0.182秒
120.42.124.59,HTTPS,18-01-30 18:22,45047,0.353秒
139.208.18.159,HTTP,18-01-31 05:17,8118,4.915秒
110.73.48.81,HTTP,18-01-31 05:15,8123,2.712秒
114.253.243.27,HTTPS,18-01-31 05:05,8118,0.299秒
